rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
neutral,linear,,negative,0.45,,,,
common,linear,,negative,0.15,,,,
common > 0.70 & neutral > 0.70 & interdisciplinary <= 0.70,rule,0.06,negative,0.12,0.08,103.27,70.96,4.77
common > 0.5 & socially controversial <= 0.5 & positive <= 0.70 & interdisciplinary > 0.5 & interdisciplinary <= 0.89,rule,0.03,negative,0.09,0.03,48.51,23.56,3.44
common > 0.30 & common <= 0.5 & socially controversial > 0.30 & subject to geographical variability > 0.5,rule,0.07,positive,0.09,0.06,5.05,2.71,1.09
technically complicated > 0.5 & common > 0.70 & socially controversial <= 0.70 & negative > 0.5 & neutral <= 0.70,rule,0.05,negative,0.08,0.13,18.04,6.48,2.01
socially controversial <= 0.30 & unambiguous > 0.5,rule,0.06,negative,0.08,0.27,20.19,12.28,2.72
common > 0.5 & socially controversial <= 0.5 & negative > 0.5 & negative <= 0.70 & interdisciplinary > 0.5,rule,0.02,negative,0.08,0.02,27.43,12.33,2.71
conceptually dense <= 0.70 & common <= 0.89 & neutral <= 0.5 & interdisciplinary <= 0.70,rule,0.02,positive,0.07,0.01,52.44,33.09,3.73
conceptually dense > 0.70 & technically complicated > 0.70 & socially controversial <= 0.5 & unambiguous > 0.5,rule,0.05,negative,0.07,0.11,4.43,2.3,1.07
common <= 0.70 & positive <= 0.70 & neutral > 0.70 & neutral <= 0.89,rule,0.01,negative,0.07,0.13,72.32,44.22,4.05
technically complicated > 0.70 & common > 0.5 & positive <= 0.70 & interdisciplinary > 0.5,rule,0.07,negative,0.06,0.13,7.29,4.35,1.57
conceptually dense > 0.5 & positive <= 0.5 & negative > 0.70 & subject to geographical variability > 0.70 & subject to time variability <= 0.89,rule,0.14,positive,0.06,0.11,50.72,24.92,3.4
common > 0.70 & socially controversial <= 0.5 & negative > 0.30 & negative <= 0.5 & interdisciplinary > 0.5,rule,0.09,negative,0.06,0.08,40.11,13.77,2.79
common > 0.70 & common <= 0.89 & unambiguous > 0.5 & positive <= 0.70 & subject to geographical variability > 0.70,rule,0.09,negative,0.06,0.07,26.32,13.96,2.81
common <= 0.70 & unambiguous > 0.5 & positive <= 0.70 & subject to time variability <= 0.70,rule,0.03,negative,0.06,0.15,34.15,15.54,2.91
technically complicated > 0.5 & unambiguous > 0.5 & positive <= 0.70 & negative <= 0.70 & subject to geographical variability > 0.70,rule,0.09,negative,0.06,0.14,30.35,17.79,3.05
conceptually dense <= 0.70 & common > 0.70 & unambiguous <= 0.70 & neutral > 0.70,rule,0.05,negative,0.05,0.07,71.31,48.24,4.08
common > 0.5 & positive > 0.5 & positive <= 0.89 & subject to geographical variability <= 0.70 & interdisciplinary > 0.70,rule,0.03,negative,0.05,0.03,75.41,44.8,3.98
technically complicated <= 0.70 & common > 0.70 & positive > 0.5 & positive <= 0.89 & interdisciplinary <= 0.89,rule,0.29,negative,0.05,0.23,79.97,42.19,3.94
common > 0.5 & negative > 0.30 & neutral > 0.5 & subject to geographical variability > 0.89 & subject to time variability > 0.70,rule,0.02,negative,0.05,0.32,26.37,7.28,2.09
conceptually dense > 0.5 & conceptually dense <= 0.70 & technically complicated <= 0.70 & negative <= 0.30,rule,0.04,positive,0.05,0.03,8.29,3.3,1.25
conceptually dense > 0.5 & common <= 0.70 & socially controversial <= 0.5 & positive > 0.70 & subject to geographical variability > 0.70,rule,0.12,positive,0.05,0.15,45.83,17.47,3.01
common > 0.5 & common <= 0.89 & negative <= 0.70 & neutral <= 0.70 & subject to geographical variability <= 0.89,rule,0.47,positive,0.05,0.4,48.97,22.22,3.27
technically complicated <= 0.70 & common > 0.70 & socially controversial > 0.30 & socially controversial <= 0.5 & subject to geographical variability <= 0.70,rule,0.03,positive,0.05,0.08,83.24,46.47,4.02
common > 0.89 & negative <= 0.70 & subject to geographical variability > 0.70,rule,0.01,negative,0.04,0.21,38.19,19.52,3.09
conceptually dense <= 0.70 & neutral <= 0.5 & subject to geographical variability <= 0.89 & interdisciplinary > 0.5,rule,0.02,positive,0.04,0.12,24.81,16.57,2.93
technically complicated > 0.5 & common <= 0.70 & unambiguous > 0.5 & positive > 0.5 & negative > 0.5,rule,0.08,negative,0.04,0.08,33.19,11.87,2.57
conceptually dense <= 0.70 & common > 0.70 & neutral > 0.5 & neutral <= 0.70 & interdisciplinary > 0.70,rule,0.05,negative,0.04,0.06,139.68,72.88,4.47
common > 0.30 & common <= 0.89 & socially controversial <= 0.70 & neutral <= 0.70 & interdisciplinary <= 0.70,rule,0.12,positive,0.04,0.09,14.55,9.29,2.31
conceptually dense > 0.5 & negative > 0.70 & neutral <= 0.5 & interdisciplinary > 0.70,rule,0.1,positive,0.04,0.1,7.95,6.78,1.98
conceptually dense > 0.5 & common <= 0.70 & positive > 0.70 & negative <= 0.5 & subject to geographical variability > 0.5,rule,0.27,positive,0.04,0.25,6.92,3.0,1.14
