rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
common <= 0.5,rule,0.01,positive,0.93,0.8,89.58,89.58,8.69
common > 0.5 & positive <= 0.70,rule,0.26,negative,0.85,0.2,873.72,830.9,12.41
positive <= 0.70,rule,0.26,negative,0.23,0.8,956.9,956.9,8.42
conceptually dense > 0.70 & positive > 0.70,rule,0.68,positive,0.11,0.74,426.86,423.92,6.71
positive > 0.70 & interdisciplinary > 0.70,rule,0.68,positive,0.07,0.75,293.58,293.58,6.07
technically complicated <= 0.70 & common > 0.5 & common <= 0.70 & positive > 0.70 & subject to geographical variability > 0.70,rule,0.1,negative,0.07,0.32,108.8,94.47,4.88
technically complicated > 0.5 & common > 0.5 & common <= 0.89 & subject to time variability <= 0.89,rule,0.87,negative,0.06,0.7,16.71,13.57,2.75
common > 0.5 & unambiguous <= 0.70 & positive > 0.70 & negative <= 0.5 & subject to geographical variability > 0.70,rule,0.07,negative,0.06,0.45,152.99,76.94,4.6
common > 0.70 & socially controversial > 0.5,rule,0.49,negative,0.03,0.58,4.44,4.17,1.48
common > 0.70 & positive > 0.70 & neutral <= 0.70,rule,0.05,positive,0.03,0.06,498.52,493.86,6.4
technically complicated > 0.5 & common > 0.5 & neutral > 0.70 & subject to geographical variability > 0.70 & subject to time variability <= 0.89,rule,0.7,negative,0.02,0.63,42.55,27.37,3.38
technically complicated > 0.5 & common > 0.5 & socially controversial > 0.5 & socially controversial <= 0.70 & positive > 0.70,rule,0.21,negative,0.02,0.31,133.15,118.83,4.86
technically complicated > 0.5 & technically complicated <= 0.70 & common > 0.5 & common <= 0.89 & subject to geographical variability > 0.70,rule,0.4,negative,0.02,0.33,23.43,17.59,2.92
conceptually dense > 0.70 & common > 0.5 & socially controversial <= 0.70 & unambiguous <= 0.70 & positive > 0.70,rule,0.04,negative,0.02,0.33,17.76,7.68,2.09
common > 0.5 & unambiguous > 0.70 & positive > 0.70 & negative <= 0.5 & subject to geographical variability > 0.70,rule,0.5,positive,0.01,0.45,152.99,76.94,4.38
technically complicated > 0.70 & common > 0.70,rule,0.32,negative,0.01,0.56,28.26,27.99,3.36
technically complicated > 0.5 & common > 0.5 & positive > 0.70 & neutral > 0.70 & subject to geographical variability > 0.70,rule,0.56,negative,0.01,0.45,185.96,165.23,5.17
technically complicated <= 0.70 & common > 0.70 & positive > 0.70 & subject to geographical variability > 0.70,rule,0.31,positive,0.0,0.32,99.4,94.47,4.55
conceptually dense > 0.70 & unambiguous > 0.70 & positive > 0.70,rule,0.56,positive,0.0,0.5,46.94,42.97,3.77
common <= 0.5 & positive > 0.70,rule,0.01,positive,0.0,0.59,888.68,830.9,6.75
common <= 0.5 & positive > 0.70 & positive <= 0.89,rule,0.01,positive,0.0,0.59,280.72,253.17,5.53
