rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
common > 0.5 & unambiguous > 0.30 & subject to time variability <= 0.89,rule,0.93,negative,0.03,0.75,1.75,1.31,1.03
conceptually dense > 0.5 & technically complicated <= 0.70 & unambiguous > 0.5 & neutral > 0.70,rule,0.22,positive,0.01,0.19,0.86,0.46,1.01
technically complicated > 0.70 & common > 0.5 & unambiguous > 0.5 & unambiguous <= 0.70,rule,0.48,negative,0.01,0.41,1.26,0.86,1.01
socially controversial > 0.70 & unambiguous > 0.30 & positive > 0.70 & interdisciplinary > 0.70,rule,0.32,negative,0.01,0.26,1.41,1.19,1.01
common > 0.5 & socially controversial <= 0.89 & unambiguous > 0.30 & positive > 0.70 & negative > 0.5,rule,0.49,negative,0.01,0.63,1.94,0.92,1.01
technically complicated > 0.30 & technically complicated <= 0.70 & unambiguous <= 0.70 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.12,positive,0.01,0.1,0.5,0.31,1.01
common > 0.5 & unambiguous > 0.5 & unambiguous <= 0.70 & positive > 0.70,rule,0.63,negative,0.01,0.73,1.26,0.68,1.01
technically complicated > 0.30 & technically complicated <= 0.70 & unambiguous > 0.5 & neutral > 0.70,rule,0.23,positive,0.0,0.26,0.85,0.67,1.0
technically complicated > 0.5 & technically complicated <= 0.70 & unambiguous > 0.30,rule,0.31,positive,0.0,0.38,0.99,0.67,1.0
socially controversial > 0.70 & unambiguous > 0.5 & unambiguous <= 0.70 & positive > 0.70,rule,0.32,negative,0.0,0.42,1.27,0.78,1.0
unambiguous > 0.5 & unambiguous <= 0.70 & negative > 0.5 & negative <= 0.89,rule,0.68,negative,0.0,0.65,0.5,0.23,1.0
unambiguous <= 0.70 & negative > 0.89,rule,0.15,positive,0.0,0.12,0.25,0.23,1.0
