rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
positive > 0.70,rule,0.74,positive,0.35,0.8,360.58,360.58,7.92
positive > 0.70 & subject to time variability <= 0.89,rule,0.73,positive,0.11,0.79,229.34,223.91,5.99
technically complicated > 0.5 & common > 0.5 & positive > 0.30 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.24,negative,0.06,0.2,32.32,30.68,3.63
technically complicated > 0.5 & positive <= 0.70,rule,0.25,negative,0.04,0.21,248.15,247.47,5.76
positive > 0.70 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.71,positive,0.04,0.58,84.1,83.54,4.58
technically complicated <= 0.70 & common > 0.70 & positive > 0.70 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.3,positive,0.03,0.32,5.06,3.67,1.34
positive > 0.70 & negative <= 0.5 & subject to geographical variability > 0.70,rule,0.58,positive,0.03,0.48,80.34,53.63,4.1
positive <= 0.70,rule,0.26,negative,0.03,0.82,343.66,343.66,6.03
common > 0.5 & positive <= 0.70 & negative <= 0.70,rule,0.19,negative,0.03,0.21,28.86,27.01,3.4
technically complicated > 0.70 & positive > 0.30 & positive <= 0.70,rule,0.17,negative,0.03,0.14,25.5,23.07,3.24
positive > 0.70 & neutral > 0.70,rule,0.67,positive,0.02,0.65,257.2,211.09,5.43
technically complicated <= 0.70 & unambiguous > 0.70 & positive > 0.70 & positive <= 0.89 & subject to time variability > 0.70,rule,0.35,positive,0.01,0.32,19.37,18.82,2.96
technically complicated > 0.5 & common > 0.5 & positive > 0.5 & positive <= 0.70,rule,0.16,negative,0.01,0.14,120.59,119.06,4.84
technically complicated <= 0.70 & socially controversial > 0.30 & socially controversial <= 0.70 & positive > 0.70,rule,0.29,positive,0.01,0.36,60.39,59.95,4.14
positive > 0.70 & positive <= 0.89,rule,0.74,positive,0.01,0.58,127.6,127.6,4.89
unambiguous > 0.70 & positive > 0.70,rule,0.62,positive,0.01,0.59,224.47,224.07,5.45
common > 0.70 & socially controversial > 0.70 & socially controversial <= 0.89 & positive <= 0.70,rule,0.16,negative,0.0,0.13,9.41,8.55,2.15
