rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
common > 0.89,rule,0.04,positive,1.37,0.8,982.97,982.97,16.34
conceptually dense > 0.5 & common > 0.89,rule,0.03,positive,0.34,0.03,951.11,940.33,9.21
common > 0.89 & unambiguous > 0.5,rule,0.03,positive,0.16,0.03,295.82,295.01,6.57
technically complicated > 0.5 & common > 0.89,rule,0.02,positive,0.14,0.69,602.19,598.06,7.28
technically complicated > 0.5 & technically complicated <= 0.89 & common > 0.89,rule,0.02,positive,0.05,0.69,282.53,281.52,5.92
common <= 0.89,rule,0.96,negative,0.03,0.8,549.45,549.45,6.51
conceptually dense <= 0.89 & common <= 0.89 & positive <= 0.89 & negative > 0.30 & subject to time variability <= 0.89,rule,0.91,negative,0.03,0.74,191.47,188.52,5.38
common <= 0.89 & unambiguous > 0.5 & subject to geographical variability > 0.5,rule,0.86,negative,0.02,0.71,529.19,528.93,6.39
common <= 0.89 & unambiguous > 0.70,rule,0.59,negative,0.0,0.49,462.86,462.03,6.15
technically complicated > 0.5 & common > 0.89 & unambiguous > 0.5,rule,0.02,positive,0.0,0.02,482.4,478.61,6.2
conceptually dense <= 0.89 & common <= 0.89 & positive <= 0.89 & neutral <= 0.89 & subject to geographical variability > 0.5,rule,0.9,negative,0.0,0.73,427.11,426.03,6.07
common > 0.70 & common <= 0.89 & neutral > 0.70 & subject to geographical variability <= 0.89,rule,0.56,negative,0.0,0.49,131.76,131.32,4.88
common > 0.5 & common <= 0.89 & subject to geographical variability > 0.70 & subject to geographical variability <= 0.89,rule,0.77,negative,0.0,0.65,92.64,92.49,4.53
