rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
conceptually dense > 0.70 & common <= 0.89 & socially controversial > 0.5,rule,0.73,negative,0.05,0.74,1.58,1.21,1.05
positive <= 0.70,rule,0.26,negative,0.05,0.8,28.2,28.2,3.49
conceptually dense,linear,,negative,0.04,,,,
positive > 0.70,rule,0.74,positive,0.04,0.8,17.44,17.44,2.97
technically complicated > 0.5 & common <= 0.89 & socially controversial <= 0.89 & positive <= 0.70,rule,0.25,negative,0.03,0.2,5.54,5.19,1.7
conceptually dense > 0.70 & common > 0.5 & socially controversial <= 0.89 & positive > 0.5 & positive <= 0.70,rule,0.16,negative,0.02,0.13,2.25,1.61,1.02
technically complicated > 0.70 & common > 0.5 & socially controversial > 0.5 & neutral <= 0.89 & interdisciplinary > 0.70,rule,0.43,negative,0.02,0.35,1.08,0.61,1.02
technically complicated > 0.70 & common > 0.5 & positive > 0.5 & positive <= 0.70,rule,0.11,negative,0.02,0.13,18.38,16.49,2.87
common > 0.5 & socially controversial > 0.5 & positive > 0.5 & positive <= 0.70,rule,0.16,negative,0.01,0.13,8.56,4.29,1.47
technically complicated <= 0.70 & positive > 0.70 & positive <= 0.89 & subject to geographical variability > 0.70 & subject to time variability <= 0.89,rule,0.4,positive,0.01,0.32,3.63,3.36,1.22
positive > 0.70 & neutral > 0.5 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.71,positive,0.01,0.76,1.64,1.57,1.01
socially controversial <= 0.5 & unambiguous > 0.70 & positive > 0.70 & positive <= 0.89 & neutral > 0.5,rule,0.24,positive,0.01,0.2,0.66,0.3,1.01
common > 0.5 & socially controversial > 0.5 & negative <= 0.5,rule,0.37,negative,0.01,0.59,0.88,0.74,1.01
technically complicated > 0.70 & common > 0.5 & common <= 0.89 & socially controversial > 0.5 & negative <= 0.5,rule,0.22,negative,0.0,0.34,4.12,1.9,1.0
technically complicated <= 0.70 & common > 0.70 & positive > 0.70,rule,0.32,positive,0.0,0.34,18.21,16.49,2.81
conceptually dense > 0.70 & common > 0.70 & positive > 0.5 & positive <= 0.70,rule,0.11,negative,0.0,0.09,3.1,1.95,1.0
common <= 0.89 & positive <= 0.70,rule,0.26,negative,0.0,0.79,1.96,1.9,1.0
