LLM,Complexity,MRR@1,MRR@3,MRR@10
gpt-3.5-turbo,easy,0.3333333333333333,0.3333333333333333,0.3333333333333333
gpt-3.5-turbo,medium,0.4,0.5666666666666667,0.5666666666666667
gpt-3.5-turbo,hard,0.3333333333333333,0.4166666666666667,0.4583333333333333
gpt-3.5-turbo,all,0.35714285714285715,0.4523809523809524,0.47023809523809523
gpt-4o-mini,easy,0.6666666666666666,0.6666666666666666,0.6666666666666666
gpt-4o-mini,medium,0.8,0.8,0.8
gpt-4o-mini,hard,0.5,0.5833333333333334,0.5833333333333334
gpt-4o-mini,all,0.6428571428571429,0.6785714285714286,0.6785714285714286
gpt-4o,easy,1.0,1.0,1.0
gpt-4o,medium,0.8,0.8,0.8
gpt-4o,hard,0.6666666666666666,0.6666666666666666,0.6944444444444445
gpt-4o,all,0.7857142857142857,0.7857142857142857,0.7976190476190477
llama3.1,easy,1.0,1.0,1.0
llama3.1,medium,1.0,1.0,1.0
llama3.1,hard,0.3333333333333333,0.5,0.5
llama3.1,all,0.6666666666666666,0.75,0.75
