source_row,perturbation_id,metric,min_tie_count,tie_output_std,tie_output_range,selected_minus_tie_mean_abs
1481,0,explanation_length,1,0.0,0.0,0.0
1481,0,subjectivity_score_nn,1,0.0,0.0,0.0
1481,0,gunning_fog,1,0.0,0.0,0.0
1481,0,sentiment_score_nn,1,0.0,0.0,0.0
1481,0,framing_effect,1,0.0,0.0,0.0
1481,0,information_overload,1,0.0,0.0,0.0
1481,0,oversimplification,1,0.0,0.0,0.0
1481,1,explanation_length,1,0.0,0.0,0.0
1481,1,subjectivity_score_nn,1,0.0,0.0,0.0
1481,1,gunning_fog,1,0.0,0.0,0.0
1481,1,sentiment_score_nn,1,0.0,0.0,0.0
1481,1,framing_effect,1,0.0,0.0,0.0
1481,1,information_overload,1,0.0,0.0,0.0
1481,1,oversimplification,1,0.0,0.0,0.0
1481,2,explanation_length,1,0.0,0.0,0.0
1481,2,subjectivity_score_nn,1,0.0,0.0,0.0
1481,2,gunning_fog,1,0.0,0.0,0.0
1481,2,sentiment_score_nn,1,0.0,0.0,0.0
1481,2,framing_effect,1,0.0,0.0,0.0
1481,2,information_overload,1,0.0,0.0,0.0
1481,2,oversimplification,1,0.0,0.0,0.0
1481,3,explanation_length,2,29.0,58.0,29.0
1481,3,subjectivity_score_nn,2,0.0,0.0,0.0
1481,3,gunning_fog,2,0.07999992370605469,0.15999984741210938,0.07999992370605469
1481,3,sentiment_score_nn,2,0.29882171750068665,0.5976434350013733,0.29882171750068665
1481,3,framing_effect,2,0.0,0.0,0.0
1481,3,information_overload,2,0.0,0.0,0.0
1481,3,oversimplification,2,0.5,1.0,0.5
1481,4,explanation_length,1,0.0,0.0,0.0
1481,4,subjectivity_score_nn,1,0.0,0.0,0.0
1481,4,gunning_fog,1,0.0,0.0,0.0
1481,4,sentiment_score_nn,1,0.0,0.0,0.0
1481,4,framing_effect,1,0.0,0.0,0.0
1481,4,information_overload,1,0.0,0.0,0.0
1481,4,oversimplification,1,0.0,0.0,0.0
1481,5,explanation_length,1,0.0,0.0,0.0
1481,5,subjectivity_score_nn,1,0.0,0.0,0.0
1481,5,gunning_fog,1,0.0,0.0,0.0
1481,5,sentiment_score_nn,1,0.0,0.0,0.0
1481,5,framing_effect,1,0.0,0.0,0.0
1481,5,information_overload,1,0.0,0.0,0.0
1481,5,oversimplification,1,0.0,0.0,0.0
1481,6,explanation_length,1,0.0,0.0,0.0
1481,6,subjectivity_score_nn,1,0.0,0.0,0.0
1481,6,gunning_fog,1,0.0,0.0,0.0
1481,6,sentiment_score_nn,1,0.0,0.0,0.0
1481,6,framing_effect,1,0.0,0.0,0.0
1481,6,information_overload,1,0.0,0.0,0.0
1481,6,oversimplification,1,0.0,0.0,0.0
1481,7,explanation_length,1,0.0,0.0,0.0
1481,7,subjectivity_score_nn,1,0.0,0.0,0.0
1481,7,gunning_fog,1,0.0,0.0,0.0
1481,7,sentiment_score_nn,1,0.0,0.0,0.0
1481,7,framing_effect,1,0.0,0.0,0.0
1481,7,information_overload,1,0.0,0.0,0.0
1481,7,oversimplification,1,0.0,0.0,0.0
1481,8,explanation_length,1,0.0,0.0,0.0
1481,8,subjectivity_score_nn,1,0.0,0.0,0.0
1481,8,gunning_fog,1,0.0,0.0,0.0
1481,8,sentiment_score_nn,1,0.0,0.0,0.0
1481,8,framing_effect,1,0.0,0.0,0.0
1481,8,information_overload,1,0.0,0.0,0.0
1481,8,oversimplification,1,0.0,0.0,0.0
1481,9,explanation_length,1,0.0,0.0,0.0
1481,9,subjectivity_score_nn,1,0.0,0.0,0.0
1481,9,gunning_fog,1,0.0,0.0,0.0
1481,9,sentiment_score_nn,1,0.0,0.0,0.0
1481,9,framing_effect,1,0.0,0.0,0.0
1481,9,information_overload,1,0.0,0.0,0.0
1481,9,oversimplification,1,0.0,0.0,0.0
1481,10,explanation_length,1,0.0,0.0,0.0
1481,10,subjectivity_score_nn,1,0.0,0.0,0.0
1481,10,gunning_fog,1,0.0,0.0,0.0
1481,10,sentiment_score_nn,1,0.0,0.0,0.0
1481,10,framing_effect,1,0.0,0.0,0.0
1481,10,information_overload,1,0.0,0.0,0.0
1481,10,oversimplification,1,0.0,0.0,0.0
1481,11,explanation_length,1,0.0,0.0,0.0
1481,11,subjectivity_score_nn,1,0.0,0.0,0.0
1481,11,gunning_fog,1,0.0,0.0,0.0
1481,11,sentiment_score_nn,1,0.0,0.0,0.0
1481,11,framing_effect,1,0.0,0.0,0.0
1481,11,information_overload,1,0.0,0.0,0.0
1481,11,oversimplification,1,0.0,0.0,0.0
1481,12,explanation_length,1,0.0,0.0,0.0
