source_row,perturbation_id,metric,min_tie_count,tie_output_std,tie_output_range,selected_minus_tie_mean_abs
1480,0,explanation_length,1,0.0,0.0,0.0
1480,0,subjectivity_score_nn,1,0.0,0.0,0.0
1480,0,gunning_fog,1,0.0,0.0,0.0
1480,0,sentiment_score_nn,1,0.0,0.0,0.0
1480,0,framing_effect,1,0.0,0.0,0.0
1480,0,information_overload,1,0.0,0.0,0.0
1480,0,oversimplification,1,0.0,0.0,0.0
1480,1,explanation_length,1,0.0,0.0,0.0
1480,1,subjectivity_score_nn,1,0.0,0.0,0.0
1480,1,gunning_fog,1,0.0,0.0,0.0
1480,1,sentiment_score_nn,1,0.0,0.0,0.0
1480,1,framing_effect,1,0.0,0.0,0.0
1480,1,information_overload,1,0.0,0.0,0.0
1480,1,oversimplification,1,0.0,0.0,0.0
1480,2,explanation_length,1,0.0,0.0,0.0
1480,2,subjectivity_score_nn,1,0.0,0.0,0.0
1480,2,gunning_fog,1,0.0,0.0,0.0
1480,2,sentiment_score_nn,1,0.0,0.0,0.0
1480,2,framing_effect,1,0.0,0.0,0.0
1480,2,information_overload,1,0.0,0.0,0.0
1480,2,oversimplification,1,0.0,0.0,0.0
1480,3,explanation_length,1,0.0,0.0,0.0
1480,3,subjectivity_score_nn,1,0.0,0.0,0.0
1480,3,gunning_fog,1,0.0,0.0,0.0
1480,3,sentiment_score_nn,1,0.0,0.0,0.0
1480,3,framing_effect,1,0.0,0.0,0.0
1480,3,information_overload,1,0.0,0.0,0.0
1480,3,oversimplification,1,0.0,0.0,0.0
1480,4,explanation_length,1,0.0,0.0,0.0
1480,4,subjectivity_score_nn,1,0.0,0.0,0.0
1480,4,gunning_fog,1,0.0,0.0,0.0
1480,4,sentiment_score_nn,1,0.0,0.0,0.0
1480,4,framing_effect,1,0.0,0.0,0.0
1480,4,information_overload,1,0.0,0.0,0.0
1480,4,oversimplification,1,0.0,0.0,0.0
1480,5,explanation_length,1,0.0,0.0,0.0
1480,5,subjectivity_score_nn,1,0.0,0.0,0.0
1480,5,gunning_fog,1,0.0,0.0,0.0
1480,5,sentiment_score_nn,1,0.0,0.0,0.0
1480,5,framing_effect,1,0.0,0.0,0.0
1480,5,information_overload,1,0.0,0.0,0.0
1480,5,oversimplification,1,0.0,0.0,0.0
1480,6,explanation_length,1,0.0,0.0,0.0
1480,6,subjectivity_score_nn,1,0.0,0.0,0.0
1480,6,gunning_fog,1,0.0,0.0,0.0
1480,6,sentiment_score_nn,1,0.0,0.0,0.0
1480,6,framing_effect,1,0.0,0.0,0.0
1480,6,information_overload,1,0.0,0.0,0.0
1480,6,oversimplification,1,0.0,0.0,0.0
