,rule
0,If (socially controversial <= 0.700) and (socially controversial <= 0.500) and (common <= 0.900) and (technically complicated <= 0.700) and (unambiguous <= 0.700) then response: 1.523
1,If (socially controversial <= 0.700) and (socially controversial <= 0.500) and (common <= 0.900) and (technically complicated <= 0.700) and (unambiguous > 0.700) then response: 1.161
2,If (socially controversial <= 0.700) and (socially controversial <= 0.500) and (common <= 0.900) and (technically complicated > 0.700) and (unambiguous <= 0.700) then response: 1.767
3,If (socially controversial <= 0.700) and (socially controversial <= 0.500) and (common <= 0.900) and (technically complicated > 0.700) and (unambiguous > 0.700) then response: 3.000
4,If (socially controversial <= 0.700) and (socially controversial <= 0.500) and (common > 0.900) and (conceptually dense <= 0.500) then response: 2.000
5,If (socially controversial <= 0.700) and (socially controversial <= 0.500) and (common > 0.900) and (conceptually dense > 0.500) then response: 4.000
6,If (socially controversial <= 0.700) and (socially controversial > 0.500) and (common <= 0.900) and (common <= 0.700) and (positive <= 0.500) then response: 1.760
7,If (socially controversial <= 0.700) and (socially controversial > 0.500) and (common <= 0.900) and (common <= 0.700) and (positive > 0.500) then response: 1.999
8,If (socially controversial <= 0.700) and (socially controversial > 0.500) and (common <= 0.900) and (common > 0.700) and (conceptually dense <= 0.700) then response: 1.748
9,If (socially controversial <= 0.700) and (socially controversial > 0.500) and (common <= 0.900) and (common > 0.700) and (conceptually dense > 0.700) then response: 1.874
10,If (socially controversial <= 0.700) and (socially controversial > 0.500) and (common > 0.900) and (technically complicated <= 0.500) then response: 4.000
11,If (socially controversial <= 0.700) and (socially controversial > 0.500) and (common > 0.900) and (technically complicated > 0.500) and (conceptually dense <= 0.700) then response: 3.000
12,If (socially controversial <= 0.700) and (socially controversial > 0.500) and (common > 0.900) and (technically complicated > 0.500) and (conceptually dense > 0.700) then response: 3.667
13,If (socially controversial > 0.700) and (positive <= 0.700) and (common <= 0.700) and (conceptually dense <= 0.700) and (technically complicated <= 0.500) then response: 2.757
14,If (socially controversial > 0.700) and (positive <= 0.700) and (common <= 0.700) and (conceptually dense <= 0.700) and (technically complicated > 0.500) then response: 2.402
15,If (socially controversial > 0.700) and (positive <= 0.700) and (common <= 0.700) and (conceptually dense > 0.700) and (negative <= 0.900) then response: 2.717
16,If (socially controversial > 0.700) and (positive <= 0.700) and (common <= 0.700) and (conceptually dense > 0.700) and (negative > 0.900) then response: 3.010
17,If (socially controversial > 0.700) and (positive <= 0.700) and (common > 0.700) and (common <= 0.900) and (technically complicated <= 0.700) then response: 2.627
18,If (socially controversial > 0.700) and (positive <= 0.700) and (common > 0.700) and (common <= 0.900) and (technically complicated > 0.700) then response: 2.276
19,If (socially controversial > 0.700) and (positive <= 0.700) and (common > 0.700) and (common > 0.900) and (subject to geographical variability <= 0.900) then response: 4.000
20,If (socially controversial > 0.700) and (positive <= 0.700) and (common > 0.700) and (common > 0.900) and (subject to geographical variability > 0.900) then response: 3.591
21,If (socially controversial > 0.700) and (positive > 0.700) and (common <= 0.700) and (conceptually dense <= 0.700) and (conceptually dense <= 0.500) then response: 1.818
22,If (socially controversial > 0.700) and (positive > 0.700) and (common <= 0.700) and (conceptually dense <= 0.700) and (conceptually dense > 0.500) then response: 2.050
23,If (socially controversial > 0.700) and (positive > 0.700) and (common <= 0.700) and (conceptually dense > 0.700) and (neutral <= 0.700) then response: 2.468
24,If (socially controversial > 0.700) and (positive > 0.700) and (common <= 0.700) and (conceptually dense > 0.700) and (neutral > 0.700) then response: 2.283
25,If (socially controversial > 0.700) and (positive > 0.700) and (common > 0.700) and (common <= 0.900) and (conceptually dense <= 0.700) then response: 1.925
26,If (socially controversial > 0.700) and (positive > 0.700) and (common > 0.700) and (common <= 0.900) and (conceptually dense > 0.700) then response: 2.095
27,If (socially controversial > 0.700) and (positive > 0.700) and (common > 0.700) and (common > 0.900) and (neutral <= 0.700) then response: 4.000
28,If (socially controversial > 0.700) and (positive > 0.700) and (common > 0.700) and (common > 0.900) and (neutral > 0.700) then response: 3.667
