,rule
0,If (conceptually dense <= 0.700) and (conceptually dense <= 0.500) and (subject to geographical variability <= 0.500) and (positive <= 0.900) and (interdisciplinary <= 0.500) then response: 53.062
1,If (conceptually dense <= 0.700) and (conceptually dense <= 0.500) and (subject to geographical variability <= 0.500) and (positive <= 0.900) and (interdisciplinary > 0.500) then response: 66.683
2,If (conceptually dense <= 0.700) and (conceptually dense <= 0.500) and (subject to geographical variability <= 0.500) and (positive > 0.900) and (neutral <= 0.900) then response: 37.570
3,If (conceptually dense <= 0.700) and (conceptually dense <= 0.500) and (subject to geographical variability <= 0.500) and (positive > 0.900) and (neutral > 0.900) then response: 64.710
4,If (conceptually dense <= 0.700) and (conceptually dense <= 0.500) and (subject to geographical variability > 0.500) and (interdisciplinary <= 0.500) and (neutral <= 0.700) then response: 42.763
5,If (conceptually dense <= 0.700) and (conceptually dense <= 0.500) and (subject to geographical variability > 0.500) and (interdisciplinary <= 0.500) and (neutral > 0.700) then response: 48.776
6,If (conceptually dense <= 0.700) and (conceptually dense <= 0.500) and (subject to geographical variability > 0.500) and (interdisciplinary > 0.500) and (common <= 0.700) then response: 40.205
7,If (conceptually dense <= 0.700) and (conceptually dense <= 0.500) and (subject to geographical variability > 0.500) and (interdisciplinary > 0.500) and (common > 0.700) then response: 43.842
8,If (conceptually dense <= 0.700) and (conceptually dense > 0.500) and (interdisciplinary <= 0.700) and (subject to geographical variability <= 0.700) and (common <= 0.700) then response: 37.171
9,If (conceptually dense <= 0.700) and (conceptually dense > 0.500) and (interdisciplinary <= 0.700) and (subject to geographical variability <= 0.700) and (common > 0.700) then response: 41.828
10,If (conceptually dense <= 0.700) and (conceptually dense > 0.500) and (interdisciplinary <= 0.700) and (subject to geographical variability > 0.700) and (common <= 0.700) then response: 33.611
11,If (conceptually dense <= 0.700) and (conceptually dense > 0.500) and (interdisciplinary <= 0.700) and (subject to geographical variability > 0.700) and (common > 0.700) then response: 36.729
12,If (conceptually dense <= 0.700) and (conceptually dense > 0.500) and (interdisciplinary > 0.700) and (subject to geographical variability <= 0.700) and (common <= 0.500) then response: 26.951
13,If (conceptually dense <= 0.700) and (conceptually dense > 0.500) and (interdisciplinary > 0.700) and (subject to geographical variability <= 0.700) and (common > 0.500) then response: 38.277
14,If (conceptually dense <= 0.700) and (conceptually dense > 0.500) and (interdisciplinary > 0.700) and (subject to geographical variability > 0.700) and (positive <= 0.500) then response: 33.787
15,If (conceptually dense <= 0.700) and (conceptually dense > 0.500) and (interdisciplinary > 0.700) and (subject to geographical variability > 0.700) and (positive > 0.500) then response: 28.397
16,If (conceptually dense > 0.700) and (positive <= 0.500) and (socially controversial <= 0.700) and (subject to time variability <= 0.700) and (subject to time variability <= 0.500) then response: 51.430
17,If (conceptually dense > 0.700) and (positive <= 0.500) and (socially controversial <= 0.700) and (subject to time variability <= 0.700) and (subject to time variability > 0.500) then response: 34.314
18,If (conceptually dense > 0.700) and (positive <= 0.500) and (socially controversial <= 0.700) and (subject to time variability > 0.700) and (positive <= 0.300) then response: 36.599
19,If (conceptually dense > 0.700) and (positive <= 0.500) and (socially controversial <= 0.700) and (subject to time variability > 0.700) and (positive > 0.300) then response: 29.182
20,If (conceptually dense > 0.700) and (positive <= 0.500) and (socially controversial > 0.700) and (common <= 0.900) and (unambiguous <= 0.700) then response: 25.504
21,If (conceptually dense > 0.700) and (positive <= 0.500) and (socially controversial > 0.700) and (common <= 0.900) and (unambiguous > 0.700) then response: 39.402
22,If (conceptually dense > 0.700) and (positive <= 0.500) and (socially controversial > 0.700) and (common > 0.900) and (interdisciplinary <= 0.700) then response: 53.710
23,If (conceptually dense > 0.700) and (positive <= 0.500) and (socially controversial > 0.700) and (common > 0.900) and (interdisciplinary > 0.700) then response: 31.952
24,If (conceptually dense > 0.700) and (positive > 0.500) and (subject to time variability <= 0.700) and (subject to time variability <= 0.500) and (technically complicated <= 0.500) then response: 47.605
25,If (conceptually dense > 0.700) and (positive > 0.500) and (subject to time variability <= 0.700) and (subject to time variability <= 0.500) and (technically complicated > 0.500) then response: 36.932
26,If (conceptually dense > 0.700) and (positive > 0.500) and (subject to time variability <= 0.700) and (subject to time variability > 0.500) and (subject to geographical variability <= 0.700) then response: 28.310
27,If (conceptually dense > 0.700) and (positive > 0.500) and (subject to time variability <= 0.700) and (subject to time variability > 0.500) and (subject to geographical variability > 0.700) then response: 24.313
28,If (conceptually dense > 0.700) and (positive > 0.500) and (subject to time variability > 0.700) and (interdisciplinary <= 0.700) and (subject to geographical variability <= 0.900) then response: 24.749
29,If (conceptually dense > 0.700) and (positive > 0.500) and (subject to time variability > 0.700) and (interdisciplinary <= 0.700) and (subject to geographical variability > 0.900) then response: 31.506
30,If (conceptually dense > 0.700) and (positive > 0.500) and (subject to time variability > 0.700) and (interdisciplinary > 0.700) and (common <= 0.700) then response: 20.718
31,If (conceptually dense > 0.700) and (positive > 0.500) and (subject to time variability > 0.700) and (interdisciplinary > 0.700) and (common > 0.700) then response: 22.756
