,rule,type,coef,support,importance
16,socially controversial <= 0.5000000149011612 & negative > 0.5000000149011612 & unambiguous > 0.5000000149011612,rule,-0.04886382983091163,0.025602409638554216,0.0077178445086611095
28,negative > 0.30000000447034836 & interdisciplinary <= 0.9000000059604645,rule,-0.05910108197612829,0.9051204819277109,0.01731948057485452
62,unambiguous > 0.5000000149011612 & negative <= 0.7000000178813934 & positive <= 0.7000000178813934 & common <= 0.9000000059604645,rule,-0.031835587582914354,0.0963855421686747,0.009395294607207737
64,negative > 0.7000000178813934 & positive > 0.5000000149011612,rule,-0.060307455256073075,0.03614457831325301,0.011256374451032287
66,socially controversial > 0.7000000178813934 & negative > 0.5000000149011612 & neutral <= 0.7000000178813934,rule,0.01737458295991926,0.28012048192771083,0.007802193736968047
76,interdisciplinary <= 0.9000000059604645 & common > 0.30000000447034836 & subject to geographical variability > 0.9000000059604645 & interdisciplinary > 0.7000000178813934 & unambiguous <= 0.5000000149011612 & technically complicated <= 0.7000000178813934,rule,0.05515913569401442,0.03463855421686747,0.010086542107059846
98,subject to geographical variability > 0.7000000178813934 & positive <= 0.7000000178813934,rule,-0.03734252916528816,0.3870481927710843,0.018188606015213403
107,subject to geographical variability <= 0.9000000059604645 & positive <= 0.7000000178813934 & unambiguous <= 0.5000000149011612 & neutral > 0.5000000149011612,rule,0.011657114674010281,0.08885542168674698,0.0033168564989638698
116,subject to time variability <= 0.5000000149011612 & neutral > 0.7000000178813934 & common > 0.5000000149011612,rule,-0.018941178833204137,0.03765060240963856,0.0036054490149645155
146,neutral > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & unambiguous > 0.7000000178813934 & interdisciplinary > 0.5000000149011612 & neutral > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & negative <= 0.30000000447034836,rule,0.04761901048706615,0.0286144578313253,0.007939057456723719
149,socially controversial > 0.30000000447034836 & negative <= 0.9000000059604645 & common <= 0.9000000059604645,rule,0.085898740272819,0.9156626506024096,0.023870665036136256
154,common > 0.7000000178813934 & positive <= 0.9000000059604645 & positive > 0.5000000149011612,rule,-0.017416915241391207,0.32228915662650603,0.008139848139217426
156,positive > 0.7000000178813934 & neutral <= 0.5000000149011612,rule,0.016660148362210567,0.012048192771084338,0.0018176392756424817
173,technically complicated > 0.5000000149011612 & common > 0.5000000149011612 & unambiguous > 0.5000000149011612,rule,-0.03128008175235827,0.4683734939759036,0.015608722058376288
180,socially controversial <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & positive <= 0.5000000149011612,rule,0.037500462439437054,0.009036144578313253,0.003548600553267811
185,unambiguous > 0.5000000149011612 & interdisciplinary > 0.7000000178813934 & positive <= 0.7000000178813934 & common <= 0.9000000059604645 & neutral > 0.5000000149011612,rule,-0.021781478067570876,0.125,0.007203546769275034
195,subject to geographical variability <= 0.7000000178813934 & neutral > 0.7000000178813934,rule,-0.00603456880407249,0.12198795180722892,0.001974944751091662
202,technically complicated > 0.7000000178813934 & positive > 0.7000000178813934 & common > 0.5000000149011612,rule,0.001908548919520217,0.09789156626506024,0.0005671596245180697
218,subject to geographical variability <= 0.7000000178813934 & interdisciplinary > 0.5000000149011612 & common > 0.30000000447034836 & interdisciplinary <= 0.7000000178813934,rule,0.04336191535881883,0.05572289156626506,0.009946608180985245
224,technically complicated <= 0.7000000178813934 & negative <= 0.30000000447034836 & subject to time variability > 0.5000000149011612,rule,0.005552652188154271,0.0391566265060241,0.0010770339781476595
238,neutral > 0.7000000178813934 & positive <= 0.9000000059604645 & common > 0.5000000149011612,rule,-0.07083296789126657,0.2289156626506024,0.029759397485213716
240,neutral <= 0.7000000178813934 & positive > 0.7000000178813934 & common <= 0.9000000059604645,rule,0.04072960501959742,0.3358433734939759,0.01923595911671068
247,negative <= 0.30000000447034836 & conceptually dense > 0.5000000149011612,rule,0.05920005948695153,0.04066265060240964,0.011692453784672659
249,subject to geographical variability <= 0.9000000059604645 & negative <= 0.5000000149011612 & neutral <= 0.7000000178813934 & unambiguous <= 0.7000000178813934,rule,0.03582051495901102,0.2710843373493976,0.015922918749602964
262,common <= 0.7000000178813934 & positive <= 0.7000000178813934 & neutral > 0.7000000178813934,rule,-0.06672152494603673,0.02108433734939759,0.009585584069931189
266,subject to geographical variability > 0.7000000178813934 & neutral > 0.7000000178813934 & interdisciplinary <= 0.9000000059604645 & positive > 0.7000000178813934 & common > 0.5000000149011612 & socially controversial <= 0.9000000059604645 & technically complicated > 0.7000000178813934,rule,0.0328078793497213,0.02710843373493976,0.0053279800666181
272,technically complicated > 0.5000000149011612 & negative <= 0.30000000447034836 & neutral > 0.7000000178813934,rule,-0.013170325455188408,0.009036144578313253,0.001246283943097431
275,unambiguous <= 0.7000000178813934 & neutral > 0.7000000178813934 & common > 0.7000000178813934 & unambiguous > 0.5000000149011612,rule,-0.03868278125757755,0.06475903614457831,0.009519839806542982
277,socially controversial <= 0.5000000149011612 & subject to geographical variability <= 0.9000000059604645 & socially controversial > 0.30000000447034836 & positive > 0.7000000178813934 & positive <= 0.9000000059604645 & neutral > 0.5000000149011612 & common <= 0.7000000178813934 & conceptually dense > 0.5000000149011612,rule,0.01993667859078243,0.15210843373493976,0.007159778920723954
282,subject to geographical variability <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & neutral <= 0.7000000178813934,rule,0.02795231790785354,0.02710843373493976,0.004539439780342918
283,socially controversial <= 0.5000000149011612 & subject to geographical variability > 0.7000000178813934 & negative > 0.30000000447034836 & subject to time variability > 0.5000000149011612 & positive <= 0.7000000178813934,rule,-0.007083930799936209,0.022590361445783132,0.0010526262804456074
297,technically complicated > 0.5000000149011612 & positive > 0.5000000149011612 & socially controversial > 0.30000000447034836 & socially controversial <= 0.7000000178813934 & positive <= 0.7000000178813934,rule,-0.037706151561489376,0.07981927710843373,0.010218865179482554
316,subject to geographical variability > 0.7000000178813934 & common <= 0.7000000178813934,rule,0.03432405904057971,0.4939759036144578,0.017160783863999315
318,subject to geographical variability <= 0.7000000178813934 & neutral > 0.7000000178813934 & neutral > 0.5000000149011612,rule,-0.00012304313939153554,0.07680722891566265,3.2764583330307906e-05
324,conceptually dense > 0.7000000178813934 & neutral <= 0.5000000149011612 & positive > 0.5000000149011612,rule,-0.04179772824065169,0.0677710843373494,0.010505970572349367
330,interdisciplinary <= 0.7000000178813934 & conceptually dense > 0.7000000178813934,rule,-0.013978503084473643,0.07530120481927711,0.0036886018096818803
333,negative > 0.30000000447034836 & common > 0.5000000149011612,rule,-0.02815023294218175,0.8268072289156626,0.010652437775228427
335,technically complicated > 0.5000000149011612 & subject to geographical variability <= 0.7000000178813934 & common <= 0.7000000178813934,rule,-0.020942501436434887,0.046686746987951805,0.004418177671125621
336,socially controversial > 0.30000000447034836 & neutral <= 0.7000000178813934 & negative <= 0.5000000149011612,rule,0.007795659728872647,0.25903614457831325,0.0034153213254993512
337,common <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & neutral <= 0.7000000178813934 & positive > 0.7000000178813934,rule,-0.022813253648392845,0.1430722891566265,0.007987982149015268
359,common <= 0.7000000178813934 & positive > 0.7000000178813934 & unambiguous > 0.5000000149011612,rule,-0.011017281528697482,0.3192771084337349,0.005136218795408872
380,interdisciplinary > 0.7000000178813934 & subject to geographical variability <= 0.7000000178813934 & interdisciplinary > 0.5000000149011612 & common > 0.30000000447034836,rule,-0.04475171796377482,0.04819277108433735,0.009584625777612172
384,positive > 0.30000000447034836 & positive <= 0.7000000178813934 & common > 0.7000000178813934,rule,-0.008919024434684232,0.16415662650602408,0.0033037639877001525
386,socially controversial <= 0.5000000149011612 & subject to geographical variability <= 0.9000000059604645 & socially controversial > 0.30000000447034836 & positive > 0.7000000178813934 & positive <= 0.9000000059604645 & neutral > 0.5000000149011612 & common > 0.7000000178813934 & conceptually dense > 0.5000000149011612,rule,-0.04442634967157132,0.058734939759036146,0.010445875932797825
388,subject to geographical variability > 0.9000000059604645 & common > 0.5000000149011612 & positive <= 0.9000000059604645 & neutral > 0.5000000149011612,rule,-0.008088081778575973,0.022590361445783132,0.0012018366185337363
394,subject to geographical variability <= 0.9000000059604645 & conceptually dense <= 0.7000000178813934 & unambiguous > 0.30000000447034836 & common > 0.7000000178813934,rule,-0.008417496119502347,0.1822289156626506,0.0032494319431393376
