,rule
0,If (common <= 0.500) and (positive <= 0.500) then response: 0.000
1,If (common <= 0.500) and (positive > 0.500) and (socially controversial <= 0.700) and (conceptually dense <= 0.500) and (socially controversial <= 0.500) then response: 14.379
2,If (common <= 0.500) and (positive > 0.500) and (socially controversial <= 0.700) and (conceptually dense <= 0.500) and (socially controversial > 0.500) then response: 15.635
3,If (common <= 0.500) and (positive > 0.500) and (socially controversial <= 0.700) and (conceptually dense > 0.500) and (positive <= 0.700) then response: 16.939
4,If (common <= 0.500) and (positive > 0.500) and (socially controversial <= 0.700) and (conceptually dense > 0.500) and (positive > 0.700) then response: 15.721
5,If (common <= 0.500) and (positive > 0.500) and (socially controversial > 0.700) and (positive <= 0.700) and (conceptually dense <= 0.500) then response: 16.730
6,If (common <= 0.500) and (positive > 0.500) and (socially controversial > 0.700) and (positive <= 0.700) and (conceptually dense > 0.500) then response: 17.587
7,If (common <= 0.500) and (positive > 0.500) and (socially controversial > 0.700) and (positive > 0.700) and (conceptually dense <= 0.700) then response: 16.057
8,If (common <= 0.500) and (positive > 0.500) and (socially controversial > 0.700) and (positive > 0.700) and (conceptually dense > 0.700) then response: 16.721
9,If (common > 0.500) and (conceptually dense <= 0.900) then response: 0.000
10,If (common > 0.500) and (conceptually dense > 0.900) and (negative <= 0.700) then response: 22.600
11,If (common > 0.500) and (conceptually dense > 0.900) and (negative > 0.700) then response: 0.000
