,rule
0,If (positive <= 0.500) and (subject to geographical variability <= 0.900) and (unambiguous <= 0.500) and (subject to geographical variability <= 0.500) then response: 0.600
1,If (positive <= 0.500) and (subject to geographical variability <= 0.900) and (unambiguous <= 0.500) and (subject to geographical variability > 0.500) and (conceptually dense <= 0.500) then response: -0.078
2,If (positive <= 0.500) and (subject to geographical variability <= 0.900) and (unambiguous <= 0.500) and (subject to geographical variability > 0.500) and (conceptually dense > 0.500) then response: 0.032
3,If (positive <= 0.500) and (subject to geographical variability <= 0.900) and (unambiguous > 0.500) and (technically complicated <= 0.500) and (socially controversial <= 0.900) then response: 0.074
4,If (positive <= 0.500) and (subject to geographical variability <= 0.900) and (unambiguous > 0.500) and (technically complicated <= 0.500) and (socially controversial > 0.900) then response: 0.500
5,If (positive <= 0.500) and (subject to geographical variability <= 0.900) and (unambiguous > 0.500) and (technically complicated > 0.500) and (common <= 0.900) then response: -0.000
6,If (positive <= 0.500) and (subject to geographical variability <= 0.900) and (unambiguous > 0.500) and (technically complicated > 0.500) and (common > 0.900) then response: 0.069
7,If (positive <= 0.500) and (subject to geographical variability > 0.900) and (subject to time variability <= 0.900) and (technically complicated <= 0.700) and (common <= 0.700) then response: 0.054
8,If (positive <= 0.500) and (subject to geographical variability > 0.900) and (subject to time variability <= 0.900) and (technically complicated <= 0.700) and (common > 0.700) then response: 0.105
9,If (positive <= 0.500) and (subject to geographical variability > 0.900) and (subject to time variability <= 0.900) and (technically complicated > 0.700) and (common <= 0.700) then response: 0.088
10,If (positive <= 0.500) and (subject to geographical variability > 0.900) and (subject to time variability <= 0.900) and (technically complicated > 0.700) and (common > 0.700) then response: -0.060
11,If (positive <= 0.500) and (subject to geographical variability > 0.900) and (subject to time variability > 0.900) and (technically complicated <= 0.500) and (negative <= 0.700) then response: 0.111
12,If (positive <= 0.500) and (subject to geographical variability > 0.900) and (subject to time variability > 0.900) and (technically complicated <= 0.500) and (negative > 0.700) then response: 0.850
13,If (positive <= 0.500) and (subject to geographical variability > 0.900) and (subject to time variability > 0.900) and (technically complicated > 0.500) and (common <= 0.900) then response: 0.000
14,If (positive <= 0.500) and (subject to geographical variability > 0.900) and (subject to time variability > 0.900) and (technically complicated > 0.500) and (common > 0.900) then response: 0.111
15,If (positive > 0.500) and (technically complicated <= 0.700) and (conceptually dense <= 0.700) and (technically complicated <= 0.500) and (common <= 0.700) then response: 0.053
16,If (positive > 0.500) and (technically complicated <= 0.700) and (conceptually dense <= 0.700) and (technically complicated <= 0.500) and (common > 0.700) then response: 0.077
17,If (positive > 0.500) and (technically complicated <= 0.700) and (conceptually dense <= 0.700) and (technically complicated > 0.500) and (socially controversial <= 0.300) then response: 0.095
18,If (positive > 0.500) and (technically complicated <= 0.700) and (conceptually dense <= 0.700) and (technically complicated > 0.500) and (socially controversial > 0.300) then response: 0.040
19,If (positive > 0.500) and (technically complicated <= 0.700) and (conceptually dense > 0.700) and (technically complicated <= 0.500) and (neutral <= 0.500) then response: 0.143
20,If (positive > 0.500) and (technically complicated <= 0.700) and (conceptually dense > 0.700) and (technically complicated <= 0.500) and (neutral > 0.500) then response: 0.095
21,If (positive > 0.500) and (technically complicated <= 0.700) and (conceptually dense > 0.700) and (technically complicated > 0.500) and (interdisciplinary <= 0.500) then response: 0.400
22,If (positive > 0.500) and (technically complicated <= 0.700) and (conceptually dense > 0.700) and (technically complicated > 0.500) and (interdisciplinary > 0.500) then response: 0.073
23,If (positive > 0.500) and (technically complicated > 0.700) and (subject to time variability <= 0.700) and (subject to geographical variability <= 0.900) and (interdisciplinary <= 0.900) then response: 0.021
24,If (positive > 0.500) and (technically complicated > 0.700) and (subject to time variability <= 0.700) and (subject to geographical variability <= 0.900) and (interdisciplinary > 0.900) then response: -0.064
25,If (positive > 0.500) and (technically complicated > 0.700) and (subject to time variability <= 0.700) and (subject to geographical variability > 0.900) and (neutral <= 0.700) then response: 0.000
26,If (positive > 0.500) and (technically complicated > 0.700) and (subject to time variability <= 0.700) and (subject to geographical variability > 0.900) and (neutral > 0.700) then response: 0.550
27,If (positive > 0.500) and (technically complicated > 0.700) and (subject to time variability > 0.700) and (neutral <= 0.900) and (interdisciplinary <= 0.900) then response: 0.049
28,If (positive > 0.500) and (technically complicated > 0.700) and (subject to time variability > 0.700) and (neutral <= 0.900) and (interdisciplinary > 0.900) then response: 0.013
29,If (positive > 0.500) and (technically complicated > 0.700) and (subject to time variability > 0.700) and (neutral > 0.900) then response: 0.400
