,rule
0,If (positive <= 0.700) and (neutral <= 0.700) and (common <= 0.900) and (positive <= 0.500) and (socially controversial <= 0.900) then response: 2.770
1,If (positive <= 0.700) and (neutral <= 0.700) and (common <= 0.900) and (positive <= 0.500) and (socially controversial > 0.900) then response: 3.029
2,If (positive <= 0.700) and (neutral <= 0.700) and (common <= 0.900) and (positive > 0.500) and (negative <= 0.700) then response: 2.415
3,If (positive <= 0.700) and (neutral <= 0.700) and (common <= 0.900) and (positive > 0.500) and (negative > 0.700) then response: 2.648
4,If (positive <= 0.700) and (neutral <= 0.700) and (common > 0.900) and (conceptually dense <= 0.700) and (subject to time variability <= 0.900) then response: 2.333
5,If (positive <= 0.700) and (neutral <= 0.700) and (common > 0.900) and (conceptually dense <= 0.700) and (subject to time variability > 0.900) then response: 4.000
6,If (positive <= 0.700) and (neutral <= 0.700) and (common > 0.900) and (conceptually dense > 0.700) and (unambiguous <= 0.500) then response: 3.000
7,If (positive <= 0.700) and (neutral <= 0.700) and (common > 0.900) and (conceptually dense > 0.700) and (unambiguous > 0.500) then response: 2.242
8,If (positive <= 0.700) and (neutral > 0.700) and (conceptually dense <= 0.500) then response: 1.000
9,If (positive <= 0.700) and (neutral > 0.700) and (conceptually dense > 0.500) and (negative <= 0.700) and (technically complicated <= 0.500) then response: 1.667
10,If (positive <= 0.700) and (neutral > 0.700) and (conceptually dense > 0.500) and (negative <= 0.700) and (technically complicated > 0.500) then response: 1.981
11,If (positive <= 0.700) and (neutral > 0.700) and (conceptually dense > 0.500) and (negative > 0.700) and (socially controversial <= 0.700) then response: 2.300
12,If (positive <= 0.700) and (neutral > 0.700) and (conceptually dense > 0.500) and (negative > 0.700) and (socially controversial > 0.700) then response: 2.062
13,If (positive > 0.700) and (technically complicated <= 0.500) and (socially controversial <= 0.500) and (conceptually dense <= 0.500) then response: 4.000
14,If (positive > 0.700) and (technically complicated <= 0.500) and (socially controversial <= 0.500) and (conceptually dense > 0.500) and (positive <= 0.900) then response: 3.978
15,If (positive > 0.700) and (technically complicated <= 0.500) and (socially controversial <= 0.500) and (conceptually dense > 0.500) and (positive > 0.900) then response: 4.000
16,If (positive > 0.700) and (technically complicated <= 0.500) and (socially controversial > 0.500) then response: 4.000
17,If (positive > 0.700) and (technically complicated > 0.500) and (common <= 0.900) and (technically complicated <= 0.700) and (unambiguous <= 0.700) then response: 3.999
18,If (positive > 0.700) and (technically complicated > 0.500) and (common <= 0.900) and (technically complicated <= 0.700) and (unambiguous > 0.700) then response: 4.000
19,If (positive > 0.700) and (technically complicated > 0.500) and (common <= 0.900) and (technically complicated > 0.700) then response: 4.000
20,If (positive > 0.700) and (technically complicated > 0.500) and (common > 0.900) and (unambiguous <= 0.700) and (technically complicated <= 0.700) then response: 3.989
21,If (positive > 0.700) and (technically complicated > 0.500) and (common > 0.900) and (unambiguous <= 0.700) and (technically complicated > 0.700) then response: 4.000
22,If (positive > 0.700) and (technically complicated > 0.500) and (common > 0.900) and (unambiguous > 0.700) then response: 4.000
