,rule
0,If (conceptually dense <= 0.700) and (conceptually dense <= 0.500) and (neutral <= 0.700) and (common <= 0.500) and (socially controversial <= 0.700) then response: 15.179
1,If (conceptually dense <= 0.700) and (conceptually dense <= 0.500) and (neutral <= 0.700) and (common <= 0.500) and (socially controversial > 0.700) then response: 18.200
2,If (conceptually dense <= 0.700) and (conceptually dense <= 0.500) and (neutral <= 0.700) and (common > 0.500) and (interdisciplinary <= 0.700) then response: 14.226
3,If (conceptually dense <= 0.700) and (conceptually dense <= 0.500) and (neutral <= 0.700) and (common > 0.500) and (interdisciplinary > 0.700) then response: 15.660
4,If (conceptually dense <= 0.700) and (conceptually dense <= 0.500) and (neutral > 0.700) and (subject to geographical variability <= 0.500) and (interdisciplinary <= 0.500) then response: 12.646
5,If (conceptually dense <= 0.700) and (conceptually dense <= 0.500) and (neutral > 0.700) and (subject to geographical variability <= 0.500) and (interdisciplinary > 0.500) then response: 10.900
6,If (conceptually dense <= 0.700) and (conceptually dense <= 0.500) and (neutral > 0.700) and (subject to geographical variability > 0.500) and (interdisciplinary <= 0.500) then response: 12.972
7,If (conceptually dense <= 0.700) and (conceptually dense <= 0.500) and (neutral > 0.700) and (subject to geographical variability > 0.500) and (interdisciplinary > 0.500) then response: 13.790
8,If (conceptually dense <= 0.700) and (conceptually dense > 0.500) and (subject to geographical variability <= 0.700) and (common <= 0.700) and (socially controversial <= 0.300) then response: 14.186
9,If (conceptually dense <= 0.700) and (conceptually dense > 0.500) and (subject to geographical variability <= 0.700) and (common <= 0.700) and (socially controversial > 0.300) then response: 14.916
10,If (conceptually dense <= 0.700) and (conceptually dense > 0.500) and (subject to geographical variability <= 0.700) and (common > 0.700) and (positive <= 0.900) then response: 14.093
11,If (conceptually dense <= 0.700) and (conceptually dense > 0.500) and (subject to geographical variability <= 0.700) and (common > 0.700) and (positive > 0.900) then response: 14.497
12,If (conceptually dense <= 0.700) and (conceptually dense > 0.500) and (subject to geographical variability > 0.700) and (interdisciplinary <= 0.700) and (common <= 0.700) then response: 15.247
13,If (conceptually dense <= 0.700) and (conceptually dense > 0.500) and (subject to geographical variability > 0.700) and (interdisciplinary <= 0.700) and (common > 0.700) then response: 14.774
14,If (conceptually dense <= 0.700) and (conceptually dense > 0.500) and (subject to geographical variability > 0.700) and (interdisciplinary > 0.700) and (technically complicated <= 0.500) then response: 15.391
15,If (conceptually dense <= 0.700) and (conceptually dense > 0.500) and (subject to geographical variability > 0.700) and (interdisciplinary > 0.700) and (technically complicated > 0.500) then response: 15.703
16,If (conceptually dense > 0.700) and (positive <= 0.500) and (socially controversial <= 0.700) and (technically complicated <= 0.700) and (positive <= 0.300) then response: 14.514
17,If (conceptually dense > 0.700) and (positive <= 0.500) and (socially controversial <= 0.700) and (technically complicated <= 0.700) and (positive > 0.300) then response: 15.499
18,If (conceptually dense > 0.700) and (positive <= 0.500) and (socially controversial <= 0.700) and (technically complicated > 0.700) and (common <= 0.900) then response: 14.967
19,If (conceptually dense > 0.700) and (positive <= 0.500) and (socially controversial <= 0.700) and (technically complicated > 0.700) and (common > 0.900) then response: 12.650
20,If (conceptually dense > 0.700) and (positive <= 0.500) and (socially controversial > 0.700) and (common <= 0.900) and (technically complicated <= 0.700) then response: 16.069
21,If (conceptually dense > 0.700) and (positive <= 0.500) and (socially controversial > 0.700) and (common <= 0.900) and (technically complicated > 0.700) then response: 15.687
22,If (conceptually dense > 0.700) and (positive <= 0.500) and (socially controversial > 0.700) and (common > 0.900) and (interdisciplinary <= 0.700) then response: 13.000
23,If (conceptually dense > 0.700) and (positive <= 0.500) and (socially controversial > 0.700) and (common > 0.900) and (interdisciplinary > 0.700) then response: 15.033
24,If (conceptually dense > 0.700) and (positive > 0.500) and (subject to time variability <= 0.700) and (subject to time variability <= 0.500) and (socially controversial <= 0.300) then response: 14.789
25,If (conceptually dense > 0.700) and (positive > 0.500) and (subject to time variability <= 0.700) and (subject to time variability <= 0.500) and (socially controversial > 0.300) then response: 13.440
26,If (conceptually dense > 0.700) and (positive > 0.500) and (subject to time variability <= 0.700) and (subject to time variability > 0.500) and (subject to geographical variability <= 0.700) then response: 15.791
27,If (conceptually dense > 0.700) and (positive > 0.500) and (subject to time variability <= 0.700) and (subject to time variability > 0.500) and (subject to geographical variability > 0.700) then response: 16.163
28,If (conceptually dense > 0.700) and (positive > 0.500) and (subject to time variability > 0.700) and (positive <= 0.700) and (unambiguous <= 0.500) then response: 16.434
29,If (conceptually dense > 0.700) and (positive > 0.500) and (subject to time variability > 0.700) and (positive <= 0.700) and (unambiguous > 0.500) then response: 16.128
30,If (conceptually dense > 0.700) and (positive > 0.500) and (subject to time variability > 0.700) and (positive > 0.700) and (common <= 0.900) then response: 16.635
31,If (conceptually dense > 0.700) and (positive > 0.500) and (subject to time variability > 0.700) and (positive > 0.700) and (common > 0.900) then response: 15.173
