metric,feature,correlation,p_value,statistic
framing_effect,negative,0.44074001228923615,0.0,583.7841906838763
framing_effect,positive,0.4360738550774252,0.0,570.933829556616
gunning_fog,socially controversial,0.3737287054608587,0.0,415.26439695400035
framing_effect,socially controversial,0.357307943258616,0.0,379.3143897530084
gunning_fog,conceptually dense,0.35202945388574924,0.0,367.63386362950587
gunning_fog,interdisciplinary,0.3362082765883174,0.0,334.780135309053
sentiment_score_nn,positive,0.3233373486229332,0.0,308.71231724175595
gunning_fog,technically complicated,0.321208934852987,0.0,304.91764122079235
information_overload,positive,0.3079338529733423,0.0,280.1665787437804
gunning_fog,subject to geographical variability,0.30474511007844896,0.0,275.10624612506865
sentiment_score_nn,negative,0.2707980848893788,0.0,215.51747476038165
gunning_fog,subject to time variability,0.2686484000651472,0.0,212.63045321118113
explanation_length,socially controversial,0.24431251979210866,0.0,175.08688562213922
framing_effect,neutral,0.23465197345100175,0.0,161.7704279565074
explanation_length,positive,0.234216536866218,0.0,160.78733772379186
framing_effect,unambiguous,0.23129325359253036,0.0,157.27309664353925
information_overload,negative,0.23104665651595832,0.0,156.7833393409234
framing_effect,common,0.2224151047369983,0.0,145.26886662687727
explanation_length,negative,0.20618291167783576,0.0,124.22787110745551
oversimplification,interdisciplinary,0.2002457255970135,0.0,117.4263583239872
explanation_length,subject to geographical variability,0.19512787780183535,0.0,111.47159345193498
information_overload,socially controversial,0.19080164286358053,0.0,106.58164086617889
oversimplification,conceptually dense,0.1811194755192735,0.0,95.8946823335505
subjectivity_score_nn,technically complicated,0.1776697734069467,0.0,92.18636742806254
explanation_length,common,0.17726271433498023,0.0,91.56916992846051
oversimplification,socially controversial,0.17220816157965074,0.0,86.69204846914567
explanation_length,subject to time variability,0.1669660020910465,0.0,80.88647634832014
sentiment_score_nn,neutral,0.16625189551955796,0.0,80.26184260239087
information_overload,technically complicated,0.16525394158384332,0.0,79.6447597169209
sentiment_score_nn,socially controversial,0.1639434507207692,0.0,78.14405982680893
explanation_length,conceptually dense,0.16208258668963849,0.0,75.94026158011118
oversimplification,subject to geographical variability,0.16004726778384834,0.0,75.12964079315734
explanation_length,technically complicated,0.1580428415232606,0.0,72.16739931063191
gunning_fog,neutral,0.15495742990953465,0.0,69.8100340759359
gunning_fog,negative,0.1531741873896055,0.0,67.88945741353199
explanation_length,unambiguous,0.15242377939851104,0.0,67.49349769615371
gunning_fog,common,0.14871733176652463,0.0,64.07376514956445
information_overload,conceptually dense,0.14448475620458676,0.0,60.85317652678113
information_overload,subject to geographical variability,0.1434402629880167,0.0,60.235065844834324
information_overload,unambiguous,0.14183373745677105,0.0,58.48486147740095
framing_effect,subject to geographical variability,0.14159159420882475,0.0,58.91436075995492
gunning_fog,unambiguous,0.14155577131238087,0.0,58.07843642695154
oversimplification,subject to time variability,0.14071761933508395,0.0,57.76542950991078
explanation_length,interdisciplinary,0.12909514418900167,0.0,47.672009311032646
framing_effect,subject to time variability,0.1286300154253399,0.0,47.890512883982524
subjectivity_score_nn,negative,0.12694756408719587,0.0,46.416030709921365
information_overload,neutral,0.12524863047152138,0.0,45.34137189774461
information_overload,subject to time variability,0.12405827802944641,0.0,44.53004640046545
subjectivity_score_nn,subject to geographical variability,0.12290212339302098,0.0,43.375000260544034
explanation_length,neutral,0.12224794388992544,0.0,42.934944348225436
oversimplification,negative,0.12109040655141737,0.0,42.51783168442051
oversimplification,positive,0.11975511753442755,0.0,41.62472779089624
information_overload,interdisciplinary,0.11581727944930918,0.0,38.79640752260784
oversimplification,neutral,0.11407393141067507,0.0,37.809070536515854
subjectivity_score_nn,neutral,0.11171861307496483,0.0,35.84431628863451
oversimplification,technically complicated,0.10929752791971106,0.0,34.31600213030584
information_overload,common,0.10534057808148303,0.0,31.78438407116411
gunning_fog,positive,0.10390055095530809,0.0,30.48462719907041
framing_effect,conceptually dense,0.10362045988192765,0.0,30.993684009449716
sentiment_score_nn,subject to time variability,0.09858000535526344,0.0,26.363121958857008
subjectivity_score_nn,subject to time variability,0.09673434597548465,0.0,26.243333777494403
subjectivity_score_nn,positive,0.09492977594516647,0.0,25.42396156632678
framing_effect,interdisciplinary,0.09361945811549269,0.0,25.149090038225445
sentiment_score_nn,conceptually dense,0.09112803506405419,0.0,23.2916067997517
sentiment_score_nn,technically complicated,0.09041197076645091,0.0,22.62807896118741
sentiment_score_nn,subject to geographical variability,0.09034212976938502,0.0,22.66341060448772
subjectivity_score_nn,common,0.08611377784273742,0.0,20.964824132885116
subjectivity_score_nn,socially controversial,0.08487973147411694,0.0,20.24990433111039
subjectivity_score_nn,conceptually dense,0.07521674017026472,0.0,15.686741464347195
subjectivity_score_nn,interdisciplinary,0.07237947339739133,0.0,14.474644282892333
framing_effect,technically complicated,0.0634237549662017,0.0,10.753990912169415
sentiment_score_nn,unambiguous,0.057669066765528784,0.0,8.930266450670784
sentiment_score_nn,interdisciplinary,0.05676323212800385,0.0,8.367617996377197
oversimplification,unambiguous,0.04707769482458698,2.921415220846768e-09,5.821200950567619
oversimplification,common,0.04258552881622194,2.7245093404681953e-06,4.5467159577744605
sentiment_score_nn,common,0.03772079411291397,0.0009813765291761811,3.095812116640246
subjectivity_score_nn,unambiguous,0.027136168192465344,0.08520807077509118,1.3708680066582635
