metric,feature,correlation,p_value,statistic
gunning_fog,conceptually dense,0.4083360974608776,0.0,1055.9954986394282
gunning_fog,interdisciplinary,0.3529219476510464,0.0,783.4854147907897
gunning_fog,subject to time variability,0.33871381723609323,0.0,720.710635688987
information_overload,conceptually dense,0.33295843796483887,0.0,696.7346259688276
information_overload,technically complicated,0.33102862441867525,0.0,688.52122185125
framing_effect,neutral,0.32511998504723494,0.0,663.7682515631676
explanation_length,technically complicated,0.3092310845826254,0.0,599.1388180797059
explanation_length,conceptually dense,0.2873414050421874,0.0,516.6258682560746
gunning_fog,subject to geographical variability,0.2826986147950266,0.0,499.6076652414841
gunning_fog,socially controversial,0.28087956750924503,0.0,493.1060394190143
framing_effect,unambiguous,0.2727444004566442,0.0,465.62141832575963
gunning_fog,technically complicated,0.2720402653045379,0.0,462.4257725381254
information_overload,subject to time variability,0.27203798260428436,0.0,463.2178797623832
framing_effect,socially controversial,0.2695724636970003,0.0,454.54998457434004
information_overload,unambiguous,0.2671566350888856,0.0,446.595770808907
explanation_length,interdisciplinary,0.25823635275169127,0.0,416.3856337789788
information_overload,socially controversial,0.24894805011335522,0.0,387.2768274910692
information_overload,negative,0.24726493791851104,0.0,382.06975641824977
information_overload,interdisciplinary,0.24424242163820759,0.0,372.85472673112827
information_overload,positive,0.2325182401635335,0.0,337.65188175511184
framing_effect,subject to time variability,0.21977854049547094,0.0,301.457296296021
gunning_fog,neutral,0.2102714328165111,0.0,275.0686683861221
information_overload,neutral,0.20161527041029337,0.0,253.44247356363135
gunning_fog,unambiguous,0.19604761963141484,0.0,238.88340144040154
gunning_fog,common,0.19337965284135747,0.0,232.41755808064568
sentiment_score_nn,positive,0.19284848123807372,0.0,230.69199097564277
explanation_length,subject to time variability,0.18781347755074634,0.0,219.27582578454238
gunning_fog,negative,0.18776178052328946,0.0,218.83042083148155
framing_effect,negative,0.18274156626462681,0.0,207.88470255088362
framing_effect,conceptually dense,0.17587565615260345,0.0,192.50526542155168
framing_effect,common,0.1733464661617785,0.0,187.01359823750076
sentiment_score_nn,negative,0.16362747749808976,0.0,165.57835571438946
information_overload,subject to geographical variability,0.1630063488516092,0.0,165.18852720717155
explanation_length,socially controversial,0.1549517821408868,0.0,148.33393072417095
oversimplification,unambiguous,0.15174485308972296,0.0,142.7514499211692
framing_effect,positive,0.14374801991417166,0.0,128.22058727618014
explanation_length,unambiguous,0.14082302746986888,0.0,122.37851477896739
oversimplification,technically complicated,0.13591691155156493,0.0,114.32144973532766
oversimplification,neutral,0.13500485692829756,0.0,112.73334769237043
framing_effect,subject to geographical variability,0.13333452609694224,0.0,109.99630868645048
oversimplification,interdisciplinary,0.1258530147071435,0.0,97.58518841610311
explanation_length,negative,0.11969184386598378,0.0,87.71087420496461
oversimplification,conceptually dense,0.1178835934652115,0.0,85.49639324328543
sentiment_score_nn,neutral,0.11628962304456279,0.0,83.23230427220612
information_overload,common,0.11075937390570534,0.0,75.76882699508467
gunning_fog,positive,0.10537082087822834,0.0,67.76129145343818
explanation_length,neutral,0.10376461052003826,0.0,65.58539640010667
explanation_length,subject to geographical variability,0.10125356050641225,0.0,62.29307495020966
explanation_length,positive,0.09202503141593624,0.0,51.11368154558438
framing_effect,technically complicated,0.0883431716156902,0.0,47.699498321713946
oversimplification,common,0.08646784524309753,0.0,45.4820755887329
subjectivity_score_nn,neutral,0.07795695393324675,0.0,36.92949233597769
subjectivity_score_nn,unambiguous,0.07343910964644847,0.0,32.62182893858817
subjectivity_score_nn,socially controversial,0.07311516381272476,0.0,32.26923815400133
oversimplification,negative,0.0688263147560738,0.0,28.161310444084286
subjectivity_score_nn,technically complicated,0.06572381224769477,0.0,25.97502540221581
sentiment_score_nn,socially controversial,0.06511336877629606,0.0,24.977714295099826
framing_effect,interdisciplinary,0.06172890137596396,0.0,22.800084470311585
sentiment_score_nn,technically complicated,0.053729925776500584,0.0,16.868284004765435
sentiment_score_nn,subject to geographical variability,0.052585489479399,0.0,15.298914617232455
explanation_length,common,0.05214140720721506,0.0,15.26017312429756
subjectivity_score_nn,conceptually dense,0.052050027397907934,0.0,16.050703189486917
sentiment_score_nn,subject to time variability,0.05045907555285547,0.0,14.532755764967009
sentiment_score_nn,unambiguous,0.048348526028111,0.0,13.269634671568793
subjectivity_score_nn,subject to time variability,0.0470544407378298,0.0,12.920948898666648
sentiment_score_nn,conceptually dense,0.04543846019750813,0.0,11.761317174814195
oversimplification,socially controversial,0.038502677592408434,2.3314683517128287e-15,7.837108224269333
subjectivity_score_nn,common,0.038194155464615555,3.3306690738754696e-16,8.100924355836083
subjectivity_score_nn,negative,0.035677501649966414,7.404743485039944e-12,6.749755911556407
sentiment_score_nn,interdisciplinary,0.03459854644171884,3.9947534169471055e-10,6.145137418935552
subjectivity_score_nn,positive,0.026141949651702176,0.0009445680263104883,3.107129739453553
sentiment_score_nn,common,0.023758384082907827,0.015139509612031254,2.1664212287231597
subjectivity_score_nn,interdisciplinary,0.02068903461452328,0.03807855976283503,1.7734322335412238
oversimplification,positive,0.0,1.0,-16.213228187875185
subjectivity_score_nn,subject to geographical variability,0.0,0.9854252514578552,-2.181458900900873
oversimplification,subject to geographical variability,0.0,1.0,-147.73046300855026
oversimplification,subject to time variability,0.0,1.0,-9.516517337631909
