LLM,Complexity,MRR@1,MRR@3,MRR@10
gpt-3.5-turbo,easy,0.6666666666666666,0.6666666666666666,0.6666666666666666
gpt-3.5-turbo,medium,0.2,0.26666666666666666,0.26666666666666666
gpt-3.5-turbo,hard,0.16666666666666666,0.16666666666666666,0.20833333333333334
gpt-3.5-turbo,all,0.2857142857142857,0.3095238095238095,0.3273809523809524
gpt-4o-mini,easy,0.6666666666666666,0.6666666666666666,0.6666666666666666
gpt-4o-mini,medium,0.2,0.26666666666666666,0.26666666666666666
gpt-4o-mini,hard,0.3333333333333333,0.3333333333333333,0.375
gpt-4o-mini,all,0.35714285714285715,0.380952380952381,0.39880952380952384
gpt-4o,easy,0.3333333333333333,0.3333333333333333,0.3333333333333333
gpt-4o,medium,0.8,0.8,0.8333333333333333
gpt-4o,hard,0.3333333333333333,0.4166666666666667,0.4166666666666667
gpt-4o,all,0.5,0.5357142857142857,0.5476190476190477
llama3.1,easy,0.3333333333333333,0.3333333333333333,0.3888888888888889
llama3.1,medium,0.0,0.1,0.1
llama3.1,hard,0.3333333333333333,0.47222222222222227,0.47222222222222227
llama3.1,all,0.21428571428571427,0.3095238095238095,0.32142857142857145
llama3.1:70b,easy,0.0,0.16666666666666666,0.16666666666666666
llama3.1:70b,medium,0.4,0.4,0.4333333333333334
llama3.1:70b,hard,0.16666666666666666,0.16666666666666666,0.16666666666666666
llama3.1:70b,all,0.21428571428571427,0.25,0.2619047619047619
