LLM,Complexity,RR@1,RR@3,RR@10
gpt-3.5-turbo,easy,"[0, 1.0, 1.0]","[0, 1.0, 1.0]","[0, 1.0, 1.0]"
gpt-3.5-turbo,medium,"[0, 0, 0, 1.0, 0]","[0, 0, 0, 1.0, 0.3333333333333333]","[0, 0, 0, 1.0, 0.3333333333333333]"
gpt-3.5-turbo,hard,"[0, 0, 0, 1.0, 0, 0]","[0, 0, 0, 1.0, 0, 0]","[0, 0.25, 0, 1.0, 0, 0]"
gpt-4o-mini,easy,"[1.0, 1.0, 0]","[1.0, 1.0, 0]","[1.0, 1.0, 0]"
gpt-4o-mini,medium,"[1.0, 0, 0, 0, 0]","[1.0, 0, 0, 0, 0.3333333333333333]","[1.0, 0, 0, 0, 0.3333333333333333]"
gpt-4o-mini,hard,"[1.0, 1.0, 0, 0, 0, 0]","[1.0, 1.0, 0, 0, 0, 0]","[1.0, 1.0, 0, 0, 0.25, 0]"
gpt-4o,easy,"[0, 0, 1.0]","[0, 0, 1.0]","[0, 0, 1.0]"
gpt-4o,medium,"[1.0, 1.0, 0, 1.0, 1.0]","[1.0, 1.0, 0, 1.0, 1.0]","[1.0, 1.0, 0.16666666666666666, 1.0, 1.0]"
gpt-4o,hard,"[0, 1.0, 0, 0, 0, 1.0]","[0, 1.0, 0, 0.5, 0, 1.0]","[0, 1.0, 0, 0.5, 0, 1.0]"
llama3.1,easy,"[1.0, 0, 0]","[1.0, 0, 0]","[1.0, 0.16666666666666666, 0]"
llama3.1,medium,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0.5]","[0, 0, 0, 0, 0.5]"
llama3.1,hard,"[0, 1.0, 0, 0, 1.0, 0]","[0.5, 1.0, 0, 0, 1.0, 0.3333333333333333]","[0.5, 1.0, 0, 0, 1.0, 0.3333333333333333]"
llama3.1:70b,easy,"[0, 0, 0]","[0, 0.5, 0]","[0, 0.5, 0]"
llama3.1:70b,medium,"[0, 0, 0, 1.0, 1.0]","[0, 0, 0, 1.0, 1.0]","[0, 0, 0.16666666666666666, 1.0, 1.0]"
llama3.1:70b,hard,"[0, 0, 0, 0, 0, 1.0]","[0, 0, 0, 0, 0, 1.0]","[0, 0, 0, 0, 0, 1.0]"
