LLM,Complexity,MRR@1,MRR@3,MRR@10
gpt-3.5-turbo,easy,1.0,1.0,1.0
gpt-3.5-turbo,medium,0.0,0.0,0.0
gpt-3.5-turbo,hard,0.0,0.0,0.0
gpt-3.5-turbo,all,0.16666666666666666,0.16666666666666666,0.16666666666666666
gpt-4o-mini,easy,1.0,1.0,1.0
gpt-4o-mini,medium,0.0,0.0,0.0
gpt-4o-mini,hard,0.0,0.0,0.0
gpt-4o-mini,all,0.16666666666666666,0.16666666666666666,0.16666666666666666
gpt-4o,easy,1.0,1.0,1.0
gpt-4o,medium,0.5,0.5,0.5
gpt-4o,hard,0.6666666666666666,0.6666666666666666,0.6666666666666666
gpt-4o,all,0.6666666666666666,0.6666666666666666,0.6666666666666666
llama3.1,easy,1.0,1.0,1.0
llama3.1,medium,0.0,0.0,0.0
llama3.1,hard,0.0,0.0,0.0
llama3.1,all,0.16666666666666666,0.16666666666666666,0.16666666666666666
