rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
technically complicated > 0.5 & common > 0.70 & socially controversial <= 0.70 & negative <= 0.70 & neutral > 0.70,rule,0.3,negative,0.03,0.3,0.45,0.14,1.03
positive > 0.70 & negative > 0.5 & neutral > 0.70 & neutral <= 0.89 & subject to time variability <= 0.89,rule,0.09,negative,0.02,0.52,0.34,0.15,1.02
technically complicated > 0.70 & socially controversial > 0.5 & positive > 0.70 & negative <= 0.5 & interdisciplinary > 0.70,rule,0.2,positive,0.01,0.18,0.84,0.26,1.01
technically complicated > 0.70 & common > 0.5 & socially controversial > 0.5 & positive > 0.70 & negative <= 0.5,rule,0.2,positive,0.01,0.16,1.16,0.44,1.01
negative > 0.30 & negative <= 0.5 & neutral <= 0.89 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.56,positive,0.01,0.45,1.03,0.51,1.01
conceptually dense > 0.70 & socially controversial > 0.5 & positive > 0.70 & negative <= 0.5 & interdisciplinary > 0.70,rule,0.34,positive,0.01,0.41,0.23,0.06,1.01
socially controversial <= 0.89 & positive > 0.5 & negative <= 0.70 & neutral > 0.5 & interdisciplinary > 0.70,rule,0.82,positive,0.01,0.68,0.37,0.11,1.01
socially controversial > 0.5 & positive > 0.70 & negative <= 0.5 & neutral <= 0.89 & interdisciplinary > 0.70,rule,0.34,positive,0.0,0.3,0.96,0.28,1.0
unambiguous > 0.70 & positive > 0.5 & negative > 0.30 & negative <= 0.5,rule,0.53,positive,0.0,0.55,0.44,0.13,1.0
technically complicated > 0.5 & common > 0.70 & neutral > 0.70 & neutral <= 0.89 & subject to time variability > 0.70,rule,0.48,negative,0.0,0.49,0.38,0.15,1.0
conceptually dense > 0.70 & socially controversial > 0.30 & positive > 0.70 & negative > 0.30 & negative <= 0.5,rule,0.53,positive,0.0,0.43,0.45,0.17,1.0
common > 0.70 & socially controversial > 0.70 & socially controversial <= 0.89 & positive > 0.5 & negative <= 0.70,rule,0.24,positive,0.0,0.21,0.36,0.09,1.0
conceptually dense > 0.70 & common <= 0.89 & positive > 0.5 & negative <= 0.70 & neutral <= 0.89,rule,0.82,positive,0.0,0.66,0.32,0.16,1.0
