rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
positive,linear,,positive,1.54,,,,
common > 0.5 & positive > 0.5 & positive <= 0.70,rule,0.16,negative,0.31,0.2,126.64,126.42,6.32
technically complicated > 0.5 & positive <= 0.70 & negative <= 0.70,rule,0.18,negative,0.07,0.15,321.97,320.72,6.19
positive > 0.70 & negative <= 0.5 & neutral <= 0.89 & subject to time variability <= 0.89,rule,0.59,positive,0.03,0.47,3.06,2.86,1.08
technically complicated <= 0.70 & unambiguous > 0.70 & positive > 0.70 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.35,positive,0.02,0.3,155.87,153.27,5.14
technically complicated <= 0.70 & common > 0.70 & positive > 0.70 & subject to time variability <= 0.89,rule,0.32,positive,0.02,0.41,10.66,10.28,2.38
common <= 0.89 & positive > 0.70 & negative <= 0.70 & neutral > 0.70 & subject to time variability <= 0.89,rule,0.66,positive,0.02,0.53,1.91,1.65,1.02
technically complicated <= 0.70 & socially controversial <= 0.70 & positive > 0.70 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.29,positive,0.01,0.24,158.55,156.24,5.09
technically complicated > 0.70 & positive <= 0.70 & neutral > 0.5 & interdisciplinary > 0.70,rule,0.17,negative,0.01,0.14,33.69,33.36,3.54
technically complicated > 0.5 & common > 0.70 & positive > 0.30 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.17,negative,0.01,0.2,12.5,12.09,2.51
positive > 0.70 & positive <= 0.89 & neutral <= 0.89 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.71,positive,0.01,0.59,4.1,3.8,1.34
unambiguous > 0.70 & positive > 0.70 & negative <= 0.5 & subject to time variability > 0.70,rule,0.5,positive,0.01,0.42,3.89,3.58,1.28
technically complicated,linear,,negative,0.0,,,,
technically complicated <= 0.70 & socially controversial <= 0.5 & positive > 0.70 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.18,positive,0.0,0.17,304.22,300.36,5.71
technically complicated <= 0.70 & socially controversial <= 0.5 & positive > 0.70 & subject to time variability > 0.70,rule,0.18,positive,0.0,0.23,28.32,27.98,3.33
