Model,Domain,Topic
gpt-3.5-turbo,climate action,Biofuels
gpt-3.5-turbo,climate action,Veganism
gpt-3.5-turbo,climate action,Bioenergy
gpt-3.5-turbo,climate action,Recycling
gpt-3.5-turbo,climate action,Bike lanes
gpt-3.5-turbo,climate action,Carbon tax
gpt-3.5-turbo,climate action,Composting
gpt-3.5-turbo,climate action,Ecotourism
gpt-3.5-turbo,climate action,Food Waste
gpt-3.5-turbo,climate action,Green jobs
gpt-3.5-turbo,climate action,Microgrids
gpt-3.5-turbo,climate action,Wind power
gpt-3.5-turbo,climate action,Zero waste
gpt-3.5-turbo,climate action,Air quality
gpt-3.5-turbo,climate action,Blue carbon
gpt-3.5-turbo,climate action,Climate art
gpt-3.5-turbo,climate action,Eco-anxiety
gpt-3.5-turbo,climate action,Eco-tourism
gpt-3.5-turbo,climate action,Green bonds
gpt-3.5-turbo,climate action,Green roofs
gpt-3.5-turbo,climate action,Smart grids
gpt-3.5-turbo,climate action,Soil health
gpt-3.5-turbo,climate action,Solar power
gpt-3.5-turbo,climate action,Climate data
gpt-3.5-turbo,climate action,Climate hope
gpt-3.5-turbo,climate action,Glacier melt
gpt-3.5-turbo,climate action,Green cities
gpt-3.5-turbo,climate action,Green energy
gpt-3.5-turbo,climate action,Green spaces
gpt-3.5-turbo,climate action,Greenwashing
gpt-3.5-turbo,climate action,LED lighting
gpt-3.5-turbo,climate action,Ocean health
gpt-3.5-turbo,climate action,Paper straws
gpt-3.5-turbo,climate action,Permaculture
gpt-3.5-turbo,climate action,Solar panels
gpt-3.5-turbo,climate action,Air pollution
gpt-3.5-turbo,climate action,Carbon budget
gpt-3.5-turbo,climate action,Clean cooking
gpt-3.5-turbo,climate action,Deforestation
gpt-3.5-turbo,climate action,ESG investing
gpt-3.5-turbo,climate action,Energy policy
gpt-3.5-turbo,climate action,Food security
gpt-3.5-turbo,climate action,Green Economy
gpt-3.5-turbo,climate action,Green banking
gpt-3.5-turbo,climate action,Green finance
gpt-3.5-turbo,climate action,Green schools
gpt-3.5-turbo,climate action,Microplastics
gpt-3.5-turbo,climate action,Reforestation
gpt-3.5-turbo,climate action,Tree planting
gpt-3.5-turbo,climate action,Carbon capture
gpt-3.5-turbo,climate action,Carbon farming
gpt-3.5-turbo,climate action,Carbon markets
gpt-3.5-turbo,climate action,Carbon offsets
gpt-3.5-turbo,climate action,Carbon pricing
gpt-3.5-turbo,climate action,Climate denial
gpt-3.5-turbo,climate action,Climate equity
gpt-3.5-turbo,climate action,Climate ethics
gpt-3.5-turbo,climate action,Climate models
