model,metric,method,split_id,rule_rank,rule,n_test,test_support,test_support_ratio,test_mean_when_rule_fires,test_mean_when_rule_not_firing,test_delta,pvalue,cohen_d,train_direction,observed_direction,direction_consistent
llama3.1,explanation_length,ruleshap,0,1,conceptually dense > 0.70 & technically complicated > 0.5 & unambiguous > 0.5 & interdisciplinary > 0.70 & subject to time variability <= 0.89,2106,1312,0.6229819563152896,3476.4603658536585,3075.0403022670025,401.42006358665594,1.264467660992481e-64,0.8263228012636138,positive,positive,True
llama3.1,explanation_length,ruleshap,0,2,NOT(conceptually dense > 0.5 & technically complicated > 0.5 & technically complicated <= 0.70 & neutral <= 0.5 & interdisciplinary <= 0.70),2106,2103,0.9985754985754985,3325.97051830718,2727.3333333333335,598.6371849738466,0.5495508733966172,1.1449632654408894,positive,positive,True
llama3.1,explanation_length,ruleshap,0,3,technically complicated > 0.70 & technically complicated <= 0.89 & socially controversial > 0.5 & neutral <= 0.70,2106,465,0.2207977207977208,3556.87311827957,3259.4466788543573,297.4264394252127,1.9212767225612945e-27,0.5848305249429218,positive,positive,True
llama3.1,explanation_length,ruleshap,0,4,NOT(conceptually dense <= 0.5 & neutral > 0.70),2106,2057,0.9767331433998101,3338.478852698104,2764.2244897959185,574.2543629021857,5.95007003065061e-14,1.1126477751763963,positive,positive,True
llama3.1,explanation_length,ruleshap,0,5,NOT(conceptually dense > 0.5 & conceptually dense <= 0.70 & technically complicated > 0.5 & unambiguous > 0.5 & neutral <= 0.5),2106,2016,0.9572649572649573,3332.872023809524,3151.4222222222224,181.4498015873014,0.0048483672279999454,0.34757695516780557,positive,positive,True
llama3.1,explanation_length,rulefit,0,1,unambiguous > 0.5000000149011612 & subject to time variability <= 0.9000000059604645 & conceptually dense > 0.7000000178813934,2106,1469,0.6975308641975309,3456.197413206263,3022.8320251177392,433.36538808852356,2.5171259664032523e-65,0.8954615232487392,positive,positive,True
llama3.1,explanation_length,rulefit,0,2,conceptually dense <= 0.9000000059604645 & socially controversial > 0.5000000149011612 & technically complicated > 0.5000000149011612,2106,1512,0.717948717948718,3423.3551587301586,3075.0589225589224,348.29623617123616,1.2817303666126845e-40,0.6975870630846939,positive,positive,True
llama3.1,explanation_length,rulefit,0,3,unambiguous > 0.30000000447034836 & conceptually dense > 0.7000000178813934 & technically complicated > 0.7000000178813934,2106,959,0.4553656220322887,3492.4608967674662,3185.2031386224935,307.25775814497274,2.1668125472690344e-43,0.6139753307625999,positive,positive,True
llama3.1,explanation_length,rulefit,0,4,positive > 0.30000000447034836 & conceptually dense > 0.7000000178813934 & socially controversial > 0.7000000178813934,2106,938,0.4453941120607787,3524.5938166311303,3164.922089041096,359.67172759003415,8.536181487130597e-60,0.7313021746869913,positive,positive,True
llama3.1,explanation_length,rulefit,0,5,conceptually dense <= 0.9000000059604645 & conceptually dense > 0.7000000178813934 & common > 0.7000000178813934,2106,996,0.47293447293447294,3482.9377510040163,3183.506306306306,299.43144469771005,1.3503813981600268e-41,0.5970675234911816,positive,positive,True
